R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Karolina Kowalkiewicz,Alexa Grasso,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,False,Women's Strawweight,3,1.0,0.0,0.0,16.25,11.0,17.5,11.25,105.75,40.0,3.0,2.5,94.25,29.75,0.0,15.75,13.0,0.25,0.25,126.25,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1.0,2.0,18.75,10.5,8.0,6.25,101.0,27.0,4.75,3.5,90.0,23.5,0.0,5.0,2.75,2.75,0.25,113.75,36.75,0.325,0.25,5.5,2.0,0.38,132.75,53.75,10.0,716.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Orthodox,165.1,167.64000000000001,115.0,2.0,0.0,0.0,25.22222222222222,17.555555555555557,27.555555555555557,20.77777777777778,155.77777777777777,49.77777777777778,3.7777777777777777,3.0,149.0,46.77777777777778,0.0,12.88888888888889,9.222222222222221,0.7777777777777778,0.1111111111111111,187.11111111111111,73.55555555555556,0.38,0.0,0.7777777777777778,0.1111111111111111,0.05555555555555555,211.22222222222223,95.0,3.0,4.0,26.22222222222222,14.666666666666666,20.555555555555557,14.11111111111111,133.11111111111111,51.666666666666664,1.6666666666666667,1.5555555555555556,110.11111111111111,38.22222222222222,0.1111111111111111,19.0,14.444444444444445,0.5555555555555556,0.1111111111111111,155.33333333333334,67.33333333333333,0.41444444444444445,0.2222222222222222,4.777777777777778,0.7777777777777778,0.2711111111111111,170.77777777777777,81.88888888888889,25.0,800.1111111111111,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,Orthodox,160.02,162.56,115.0,25.0,33.0
Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,False,Featherweight,3,0.0,1.0,0.0,7.25,4.75,1.75,0.5,125.0,50.75,8.75,5.0,122.25,46.5,0.5,6.0,5.0,0.0,0.0,135.5,56.25,0.42,0.0,1.5,0.5,0.165,139.25,59.0,2.0,1.0,20.75,13.25,4.75,2.0,162.5,72.5,0.0,0.0,123.5,42.75,0.0,23.0,18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,0.25,0.125,168.75,75.75,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,180.34,182.88,145.0,0.0,1.0,0.0,8.333333333333334,6.733333333333333,7.2,6.4,54.266666666666666,21.2,6.933333333333334,4.666666666666667,45.93333333333333,15.266666666666667,0.13333333333333333,14.133333333333333,10.266666666666667,0.6666666666666666,0.4,68.4,32.266666666666666,0.478,0.6666666666666666,3.7333333333333334,1.0666666666666667,0.30133333333333334,80.0,43.53333333333333,4.0,5.0,9.0,5.8,7.466666666666667,5.133333333333334,59.86666666666667,21.266666666666666,3.466666666666667,2.8666666666666667,56.13333333333333,19.266666666666666,0.2,5.666666666666667,4.2,0.9333333333333333,0.0,70.8,29.266666666666666,0.40199999999999997,0.4666666666666667,2.0,1.1333333333333333,0.38,88.66666666666667,45.2,34.0,624.0666666666667,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,Orthodox,172.72,180.34,145.0,31.0,37.0
Yan Xiaonan,Angela Hill,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,False,Women's Strawweight,3,0.0,1.0,0.0,25.4,17.9,22.5,16.8,121.1,55.6,2.6,1.9,108.3,45.3,0.2,12.5,11.1,0.1,0.1,146.2,74.3,0.48,0.0,0.8,0.3,0.25,159.0,85.8,1.0,6.0,29.7,16.3,21.3,11.9,168.2,52.0,1.7,1.2,149.5,38.7,0.0,12.0,10.1,1.0,0.0,191.2,65.1,0.362,0.2,4.7,1.2,0.364,208.6,80.2,26.0,763.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,Orthodox,160.02,162.56,115.0,0.0,3.0,0.0,9.333333333333334,5.333333333333333,10.666666666666666,7.333333333333333,244.33333333333334,97.66666666666667,1.3333333333333333,0.6666666666666666,213.66666666666666,79.0,0.0,33.333333333333336,21.333333333333332,0.0,0.0,256.3333333333333,105.66666666666667,0.4033333333333333,0.0,0.3333333333333333,0.0,0.0,260.6666666666667,109.0,3.0,0.0,21.333333333333332,11.333333333333334,10.0,6.0,175.33333333333334,53.0,3.6666666666666665,1.6666666666666667,160.0,42.333333333333336,0.0,7.666666666666667,7.0,0.6666666666666666,0.0,189.0,60.666666666666664,0.32,0.0,2.0,0.6666666666666666,0.11,222.0,89.66666666666667,9.0,900.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,Orthodox,165.1,160.02,115.0,34.0,29.0
Bevon Lewis,Darren Stewart,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Blue,False,Middleweight,3,1.0,0.0,0.0,5.428571428571429,4.142857142857143,12.285714285714286,9.142857142857142,37.857142857142854,11.714285714285714,5.142857142857143,3.2857142857142856,45.57142857142857,17.428571428571427,0.2857142857142857,4.285714285714286,2.5714285714285716,0.2857142857142857,0.0,55.285714285714285,24.142857142857142,0.45428571428571424,0.0,2.4285714285714284,1.0,0.2414285714285714,65.14285714285714,32.42857142857143,2.0,5.0,5.285714285714286,3.5714285714285716,12.285714285714286,8.571428571428571,31.428571428571427,11.428571428571429,2.7142857142857144,1.7142857142857142,38.42857142857143,15.714285714285714,0.0,2.7142857142857144,2.4285714285714284,0.7142857142857143,0.0,46.42857142857143,21.714285714285715,0.4385714285714286,0.7142857142857143,6.285714285714286,2.2857142857142856,0.27999999999999997,56.714285714285715,31.0,14.0,488.7142857142857,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Orthodox,182.88,187.96,185.0,1.0,0.0,0.0,9.0,4.0,18.0,12.0,139.0,56.0,0.0,0.0,100.0,27.0,0.0,48.0,37.0,0.0,0.0,157.0,68.0,0.43,0.0,0.0,0.0,0.0,168.0,77.0,0.0,1.0,13.0,5.0,0.0,0.0,88.0,39.0,0.0,0.0,48.0,13.0,1.0,27.0,21.0,0.0,0.0,88.0,39.0,0.44,0.0,0.0,0.0,0.0,91.0,42.0,3.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,200.66,185.0,28.0,28.0
Eddie Wineland,Grigorii Popov,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Red,False,Bantamweight,3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,170.18,172.72,135.0,2.0,0.0,0.0,12.75,6.666666666666667,2.6666666666666665,1.75,119.75,31.0,5.333333333333333,3.0,112.66666666666667,27.083333333333332,0.5,2.3333333333333335,2.0,0.25,0.0,127.75,35.75,0.25666666666666665,0.0,0.8333333333333334,0.16666666666666666,0.11083333333333334,130.75,38.75,2.0,7.0,14.333333333333334,8.083333333333334,3.5833333333333335,2.75,112.33333333333333,38.666666666666664,4.666666666666667,2.0833333333333335,94.58333333333333,26.416666666666668,0.16666666666666666,11.666666666666666,9.0,0.08333333333333333,0.0,120.58333333333333,43.5,0.39333333333333337,0.0,3.6666666666666665,0.25,0.035833333333333335,124.66666666666667,47.0,29.0,668.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,Orthodox,170.18,175.26,135.0,35.0,34.0
Katlyn Chookagian,Joanne Calderwood,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,False,Women's Flyweight,3,0.0,2.0,0.0,21.875,13.0,14.875,10.25,96.75,44.75,10.25,6.375,75.0,29.0,0.375,25.0,19.375,1.25,0.25,121.875,61.375,0.53625,0.5,2.125,1.125,0.26,162.25,95.625,2.0,3.0,15.75,12.125,9.375,7.125,70.375,31.625,6.25,4.625,59.625,25.25,0.0,10.625,6.0,1.125,0.0,86.0,43.375,0.5425,0.5,1.625,0.75,0.3825,104.875,59.75,18.0,628.625,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,Orthodox,167.64000000000001,165.1,125.0,1.0,0.0,0.0,22.166666666666668,13.333333333333334,6.5,4.166666666666667,188.33333333333334,55.333333333333336,2.1666666666666665,1.6666666666666667,162.16666666666666,37.166666666666664,0.16666666666666666,12.666666666666666,10.666666666666666,0.0,0.0,197.0,61.166666666666664,0.295,0.16666666666666666,2.1666666666666665,0.0,0.0,210.33333333333334,73.33333333333333,3.0,2.0,15.166666666666666,9.0,6.833333333333333,4.666666666666667,163.5,57.0,1.6666666666666667,1.5,128.0,31.666666666666668,0.0,28.833333333333332,22.5,0.16666666666666666,0.0,172.0,63.166666666666664,0.3633333333333333,0.0,3.1666666666666665,1.1666666666666667,0.27499999999999997,187.66666666666666,76.83333333333333,18.0,900.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,Orthodox,175.26,172.72,125.0,33.0,30.0
Alexander Gustafsson,Anthony Smith,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,False,Light Heavyweight,5,1.0,0.0,0.0,9.272727272727273,6.181818181818182,6.818181818181818,5.2727272727272725,57.18181818181818,25.90909090909091,2.6363636363636362,2.0,53.36363636363637,23.272727272727273,0.45454545454545453,4.0,3.727272727272727,0.45454545454545453,0.18181818181818182,66.63636363636364,33.18181818181818,0.5072727272727273,0.36363636363636365,1.2727272727272727,0.36363636363636365,0.09636363636363637,71.45454545454545,37.63636363636363,3.0,4.0,11.545454545454545,9.090909090909092,9.363636363636363,6.454545454545454,55.09090909090909,26.363636363636363,18.09090909090909,14.636363636363637,57.90909090909091,26.454545454545453,0.18181818181818182,13.090909090909092,11.909090909090908,1.0,0.09090909090909091,82.54545454545455,47.45454545454545,0.4954545454545455,0.09090909090909091,2.909090909090909,1.4545454545454546,0.32727272727272727,118.18181818181819,80.45454545454545,27.0,625.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,Orthodox,193.04,193.04,205.0,1.0,0.0,0.0,11.933333333333334,6.6,7.0,3.933333333333333,94.46666666666667,33.06666666666667,9.666666666666666,7.2,92.2,32.266666666666666,0.6,7.0,5.333333333333333,1.1333333333333333,0.0,111.13333333333334,44.2,0.38466666666666666,0.3333333333333333,3.0,1.2,0.30333333333333334,129.46666666666667,60.6,6.0,5.0,9.466666666666667,6.0,9.466666666666667,6.466666666666667,66.66666666666667,28.933333333333334,4.133333333333334,3.2666666666666666,59.13333333333333,23.6,0.06666666666666667,11.666666666666666,9.066666666666666,0.4666666666666667,0.0,80.26666666666667,38.666666666666664,0.5253333333333333,0.13333333333333333,3.066666666666667,0.4666666666666667,0.098,94.6,51.93333333333333,38.0,660.8666666666667,3.0,0.0,0.0,3.0,5.0,2.0,0.0,10.0,Orthodox,195.57999999999998,200.66,205.0,30.0,32.0
Jimi Manuwa,Aleksandar Rakic,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,False,Light Heavyweight,3,0.0,3.0,0.0,10.333333333333334,8.333333333333334,6.666666666666667,4.666666666666667,68.33333333333333,26.333333333333332,38.0,29.333333333333332,86.66666666666667,40.666666666666664,0.6666666666666666,16.0,11.333333333333334,1.3333333333333333,0.0,113.0,60.333333333333336,0.5666666666666667,0.0,1.6666666666666667,1.0,0.25,181.0,123.66666666666667,3.0,0.0,1.6666666666666667,0.0,3.3333333333333335,3.0,30.666666666666668,12.333333333333334,3.3333333333333335,3.0,29.666666666666668,13.666666666666666,0.3333333333333333,6.0,4.666666666666667,0.3333333333333333,0.0,37.333333333333336,18.333333333333332,0.5,0.0,5.666666666666667,0.6666666666666666,0.04666666666666667,49.0,29.333333333333332,7.0,681.6666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,Orthodox,193.04,198.12,205.0,3.0,0.0,0.0,9.454545454545455,7.2727272727272725,11.272727272727273,9.454545454545455,36.09090909090909,16.181818181818183,0.8181818181818182,0.45454545454545453,29.636363636363637,10.727272727272727,0.2727272727272727,9.090909090909092,8.090909090909092,0.09090909090909091,0.0,48.18181818181818,26.09090909090909,0.5372727272727272,0.18181818181818182,1.4545454545454546,0.2727272727272727,0.09090909090909091,53.27272727272727,30.545454545454547,3.0,5.0,9.0,6.909090909090909,12.454545454545455,9.909090909090908,45.36363636363637,19.454545454545453,1.4545454545454546,0.9090909090909091,44.81818181818182,18.363636363636363,0.45454545454545453,5.454545454545454,5.0,0.8181818181818182,0.0,59.27272727272727,30.272727272727273,0.5145454545454545,0.0,2.8181818181818183,0.8181818181818182,0.2636363636363636,71.81818181818181,42.36363636363637,21.0,455.72727272727275,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,Orthodox,185.42,200.66,205.0,27.0,39.0
Makwan Amirkhani,Chris Fishgold,Marc Goddard,2019-06-01,"Stockholm, Sweden",Red,False,Featherweight,3,0.0,1.0,0.0,2.5,1.0,5.0,2.5,45.5,13.5,3.0,1.0,46.5,13.5,0.0,4.5,2.5,2.5,0.0,53.5,17.0,0.345,1.0,6.0,3.0,0.5,57.0,19.5,1.0,1.0,2.0,2.0,1.0,0.5,27.5,12.0,12.0,8.0,38.0,18.5,0.5,0.5,0.0,0.5,0.0,40.5,20.5,0.505,0.0,0.5,0.5,0.5,53.0,30.0,3.0,310.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,172.72,172.72,145.0,0.0,1.0,0.0,1.6,0.8,0.2,0.0,19.8,7.6,13.0,8.8,31.2,15.4,0.2,0.2,0.2,3.2,0.8,33.0,16.4,0.45600000000000007,1.0,5.0,2.4,0.5,43.4,24.8,3.0,1.0,5.4,2.4,2.0,0.6,28.2,9.4,7.0,5.0,27.8,10.0,0.4,4.0,2.6,1.6,0.4,37.2,15.0,0.462,0.8,1.4,0.6,0.1,67.4,42.0,11.0,561.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,Southpaw,177.8,182.88,145.0,26.0,30.0
Damir Hadzovic,Christos Giagos,Rich Mitchell,2019-06-01,"Stockholm, Sweden",Blue,False,Lightweight,3,0.0,1.0,0.0,7.0,4.2,4.6,2.6,42.8,11.0,12.8,6.2,52.2,14.8,0.0,1.0,0.8,1.0,0.4,60.2,19.8,0.342,0.2,3.0,1.2,0.3,76.0,33.4,1.0,3.0,6.4,4.2,5.2,2.6,30.4,12.6,2.2,2.0,26.6,9.4,0.0,4.8,3.6,2.2,0.4,37.8,17.2,0.378,0.8,2.4,1.4,0.414,53.6,31.8,10.0,558.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,177.8,180.34,155.0,0.0,2.0,0.0,9.0,7.2,3.6,3.2,60.0,25.4,8.8,6.2,60.2,24.4,0.4,3.2,3.2,0.6,0.0,72.4,34.8,0.49800000000000005,0.2,0.8,0.4,0.132,87.0,47.6,2.0,2.0,7.4,3.8,2.8,1.8,84.4,22.6,7.8,5.8,83.6,22.6,0.2,4.0,3.8,3.4,0.0,95.0,30.2,0.386,0.2,3.8,2.6,0.32,119.6,49.4,12.0,610.8,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,Orthodox,175.26,177.8,155.0,29.0,32.0
