Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,True,5,0.0,4.0,0.0,9.2,6.0,0.2,0.0,62.6,20.6,2.6,2.0,48.6,11.2,0.8,7.6,5.4,0.4,0.0,65.4,22.6,0.466,0.4,0.8,0.2,0.1,66.4,23.6,4.0,1.0,6.4,4.0,1.0,0.6,51.2,17.4,0.6,0.2,39.6,9.4,0.2,6.8,4.8,0.0,0.0,52.8,18.2,0.23600000000000002,0.0,1.0,0.4,0.1,53.8,19.2,9.0,419.4,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,167.64,170.18,135.0,0.0,4.0,0.0,21.9,16.4,17.0,11.0,75.0,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0.0,101.4,44.0,0.466,0.1,5.3,1.9,0.45799999999999996,129.9,69.1,4.0,2.0,13.3,8.8,7.5,5.1,90.5,26.8,0.8,0.3,76.1,17.3,0.1,9.4,6.1,0.0,0.0,98.8,32.2,0.336,0.0,0.9,0.1,0.05,110.5,43.3,27.0,742.6,3.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,162.56,162.56,135.0,31.0,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Red,True,5,0.0,3.0,0.0,14.6,9.1,11.8,7.3,124.7,42.1,2.4,1.9,112.0,32.0,0.0,12.3,10.2,0.8,0.0,138.9,51.3,0.39899999999999997,0.7,1.0,0.5,0.225,158.7,69.6,3.0,6.0,13.0,9.3,12.8,9.6,101.7,32.0,8.1,6.9,97.7,30.8,0.1,11.9,8.4,1.4,0.0,122.6,48.5,0.408,0.7,2.3,0.9,0.231,151.5,75.4,29.0,849.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,167.64,167.64,125.0,0.0,2.0,0.0,12.0,7.7142857142857135,9.285714285714286,6.857142857142858,88.14285714285714,36.142857142857146,18.428571428571427,16.428571428571427,84.57142857142857,37.0,0.0,19.285714285714285,14.714285714285715,1.7142857142857142,0.14285714285714285,115.85714285714286,59.42857142857143,0.5757142857142856,0.42857142857142855,5.142857142857143,2.4285714285714284,0.6014285714285714,161.57142857142858,102.85714285714286,2.0,2.0,24.57142857142857,14.142857142857142,10.571428571428571,7.857142857142858,98.57142857142857,32.57142857142857,6.428571428571429,4.285714285714286,61.85714285714285,12.428571428571427,0.0,29.142857142857146,18.142857142857142,1.1428571428571428,0.0,115.57142857142857,44.714285714285715,0.4371428571428572,0.2857142857142857,3.2857142857142856,0.8571428571428571,0.14714285714285716,158.14285714285714,82.28571428571429,25.0,1062.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,165.1,167.64,125.0,32.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Red,False,3,0.0,3.0,0.0,15.35483870967742,11.32258064516129,6.741935483870968,4.387096774193549,84.74193548387096,38.58064516129032,5.516129032258066,3.806451612903226,67.64516129032258,23.258064516129032,0.6451612903225806,14.0,12.193548387096774,0.935483870967742,0.0967741935483871,97.0,46.774193548387096,0.4961290322580645,0.3548387096774194,2.161290322580645,0.6774193548387096,0.2954838709677419,103.70967741935483,52.548387096774185,8.0,8.0,17.903225806451616,11.870967741935484,8.419354838709678,5.838709677419355,84.54838709677419,38.064516129032256,1.7419354838709675,0.935483870967742,67.64516129032258,25.483870967741932,0.2258064516129032,9.161290322580646,7.483870967741934,0.03225806451612903,0.03225806451612903,94.70967741935483,44.838709677419345,0.4532258064516129,0.0967741935483871,2.096774193548387,0.2258064516129032,0.06354838709677417,100.38709677419355,49.774193548387096,68.0,581.8709677419355,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,185.42,185.42,155.0,0.0,11.0,0.0,13.866666666666667,8.666666666666666,2.8666666666666667,1.7333333333333334,116.13333333333334,49.46666666666667,5.333333333333333,4.266666666666667,96.73333333333332,35.6,0.2,13.733333333333333,11.2,0.3333333333333333,0.13333333333333333,124.33333333333331,55.46666666666667,0.43,1.0,0.9333333333333332,0.4,0.2773333333333333,133.0,63.4,11.0,1.0,14.466666666666667,8.133333333333333,2.8,0.7333333333333333,91.06666666666666,32.2,4.866666666666666,2.8,78.26666666666667,23.2,0.26666666666666666,6.0,4.4,0.3333333333333333,0.13333333333333333,98.73333333333332,35.73333333333333,0.34,0.06666666666666668,2.8666666666666667,0.6666666666666666,0.13133333333333336,102.13333333333334,38.6,33.0,604.4,2.0,0.0,1.0,3.0,3.0,6.0,1.0,14.0,180.34,193.04,155.0,36.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Blue,False,3,0.0,4.0,0.0,17.0,14.0,13.75,11.0,109.5,48.75,13.0,10.5,116.25,53.75,0.5,3.0,2.5,0.5,0.25,136.25,70.25,0.5499999999999999,0.25,2.5,1.25,0.2875,154.75,86.75,4.0,0.0,12.25,6.0,6.0,3.75,94.25,26.75,1.75,1.25,82.5,21.5,0.25,7.25,4.25,0.0,0.0,102.0,31.75,0.3375,0.0,4.5,0.75,0.0975,104.75,34.25,9.0,652.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,170.18,170.18,135.0,1.0,0.0,0.0,18.25,10.25,5.875,4.125,104.875,41.0,1.0,0.625,80.5,24.0,0.375,13.0,11.5,0.125,0.0,111.75,45.75,0.36625,0.0,2.25,0.625,0.10375,117.375,50.75,5.0,2.0,20.25,13.375,6.875,5.625,103.125,38.5,0.875,0.75,77.375,20.375,0.125,13.25,11.125,0.0,0.0,110.875,44.875,0.44625,0.0,2.375,0.0,0.0,115.125,48.875,20.0,690.25,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,162.56,172.72,135.0,26.0,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Blue,False,3,0.0,1.0,0.0,17.0,14.5,2.5,2.0,201.0,59.5,0.0,0.0,184.5,45.0,0.0,2.0,2.0,0.0,0.0,203.5,61.5,0.31,0.0,0.0,0.0,0.0,204.0,62.0,1.0,1.0,42.5,23.5,0.5,0.5,205.0,89.5,0.0,0.0,152.5,56.5,0.0,10.5,10.0,0.0,0.0,205.5,90.0,0.43,0.0,0.5,0.0,0.0,205.5,90.0,8.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,180.34,185.42,250.0,1.0,0.0,0.0,7.75,6.75,11.0,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3.0,0.25,0.0,62.25,32.5,0.545,0.0,0.5,0.0,0.0,63.5,32.75,3.0,1.0,6.25,4.75,4.5,3.5,42.75,16.25,7.75,2.75,43.25,14.0,0.25,5.5,3.75,0.75,0.0,55.0,22.5,0.3975,0.0,1.0,0.0,0.0,60.5,27.75,7.0,440.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,187.96,190.5,264.0,32.0,26.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Red,False,3,0.0,4.0,0.0,19.5,12.333333333333336,11.833333333333336,7.166666666666668,142.33333333333334,63.83333333333334,6.0,4.166666666666667,117.83333333333331,42.66666666666666,0.0,22.83333333333333,20.166666666666668,1.3333333333333333,0.16666666666666666,160.16666666666666,75.16666666666667,0.47,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.25,183.5,95.66666666666669,4.0,2.0,12.0,7.333333333333332,9.666666666666666,7.0,95.16666666666669,38.333333333333336,5.166666666666667,3.5,86.66666666666669,33.166666666666664,0.0,11.333333333333336,8.333333333333334,1.5,0.16666666666666666,110.0,48.83333333333334,0.4266666666666666,0.0,6.0,1.1666666666666667,0.14,131.5,68.66666666666667,18.0,886.5,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,165.1,162.56,115.0,0.0,4.0,0.0,8.75,7.5,3.0,2.25,12.75,4.75,42.25,35.75,44.75,31.25,0.0,4.5,4.0,7.75,0.0,58.0,42.75,0.6375,0.5,5.5,4.5,0.8175000000000001,101.5,80.5,4.0,0.0,3.0,2.25,3.5,3.0,5.75,2.0,2.0,1.5,8.0,4.0,0.0,0.25,0.25,0.0,0.5,11.25,6.5,0.54,0.75,0.5,0.0,0.0,38.0,26.5,8.0,540.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,165.1,167.64,115.0,33.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Red,False,3,0.0,3.0,0.0,15.0,7.416666666666668,6.083333333333332,3.4166666666666665,84.91666666666667,34.666666666666664,5.083333333333333,3.4166666666666665,66.58333333333333,24.0,0.4166666666666667,14.5,10.083333333333334,0.5833333333333334,0.08333333333333333,96.08333333333331,41.5,0.4991666666666667,0.6666666666666666,2.75,0.5833333333333334,0.2333333333333333,102.66666666666669,47.5,4.0,4.0,13.166666666666664,7.25,2.6666666666666665,1.3333333333333333,103.16666666666669,41.66666666666666,1.6666666666666667,1.1666666666666667,88.83333333333331,32.333333333333336,0.0,5.5,4.583333333333333,0.08333333333333333,0.0,107.5,44.16666666666666,0.4025,0.0,2.1666666666666665,0.5,0.19416666666666668,110.33333333333331,46.5,23.0,495.25,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,167.64,165.1,135.0,0.0,3.0,0.0,25.16666666666667,18.25,14.0,11.083333333333336,72.58333333333333,29.41666666666667,16.083333333333332,11.75,63.0,23.33333333333333,0.0,14.5,10.666666666666666,1.5,0.08333333333333333,102.66666666666669,52.25,0.49,0.75,5.333333333333333,1.75,0.4175,138.33333333333334,85.75,4.0,3.0,8.916666666666666,4.666666666666667,5.75,4.0,51.0,12.916666666666664,1.8333333333333333,1.1666666666666667,43.41666666666666,8.916666666666666,0.25,6.25,4.5,0.8333333333333334,0.08333333333333333,58.58333333333334,18.08333333333333,0.3058333333333333,0.08333333333333333,2.25,1.0833333333333333,0.25166666666666665,80.58333333333333,37.833333333333336,32.0,750.6666666666665,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,170.18,180.34,135.0,32.0,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Blue,False,3,1.0,0.0,0.0,16.25,11.0,17.5,11.25,105.75,40.0,3.0,2.5,94.25,29.75,0.0,15.75,13.0,0.25,0.25,126.25,53.75,0.5025,0.25,0.5,0.25,0.125,165.5,87.5,1.0,2.0,18.75,10.5,8.0,6.25,101.0,27.0,4.75,3.5,90.0,23.5,0.0,5.0,2.75,2.75,0.25,113.75,36.75,0.325,0.25,5.5,2.0,0.38,132.75,53.75,10.0,716.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,165.1,167.64,115.0,2.0,0.0,0.0,25.222222222222218,17.555555555555557,27.555555555555557,20.777777777777782,155.77777777777774,49.77777777777778,3.7777777777777777,3.0,149.0,46.77777777777778,0.0,12.888888888888891,9.222222222222221,0.7777777777777778,0.1111111111111111,187.11111111111111,73.55555555555556,0.38,0.0,0.7777777777777778,0.1111111111111111,0.05555555555555555,211.22222222222226,95.0,3.0,4.0,26.222222222222218,14.666666666666664,20.555555555555557,14.111111111111109,133.11111111111111,51.66666666666666,1.6666666666666667,1.5555555555555556,110.11111111111113,38.22222222222222,0.1111111111111111,19.0,14.444444444444445,0.5555555555555556,0.1111111111111111,155.33333333333334,67.33333333333333,0.4144444444444445,0.2222222222222222,4.777777777777779,0.7777777777777778,0.2711111111111111,170.77777777777774,81.8888888888889,25.0,800.1111111111112,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,160.02,162.56,115.0,25.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Blue,False,3,0.0,1.0,0.0,7.25,4.75,1.75,0.5,125.0,50.75,8.75,5.0,122.25,46.5,0.5,6.0,5.0,0.0,0.0,135.5,56.25,0.42,0.0,1.5,0.5,0.165,139.25,59.0,2.0,1.0,20.75,13.25,4.75,2.0,162.5,72.5,0.0,0.0,123.5,42.75,0.0,23.0,18.5,0.0,0.0,167.25,74.5,0.4125,0.0,1.0,0.25,0.125,168.75,75.75,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,180.34,182.88,145.0,0.0,1.0,0.0,8.333333333333334,6.7333333333333325,7.2,6.4,54.26666666666666,21.2,6.933333333333334,4.666666666666667,45.93333333333333,15.266666666666667,0.13333333333333333,14.133333333333333,10.266666666666667,0.6666666666666666,0.4,68.4,32.266666666666666,0.478,0.6666666666666666,3.733333333333333,1.0666666666666669,0.3013333333333333,80.0,43.53333333333333,4.0,5.0,9.0,5.8,7.466666666666668,5.133333333333334,59.86666666666667,21.266666666666666,3.466666666666667,2.8666666666666667,56.13333333333333,19.266666666666666,0.2,5.666666666666668,4.2,0.9333333333333332,0.0,70.8,29.266666666666666,0.402,0.4666666666666667,2.0,1.1333333333333333,0.38,88.66666666666669,45.2,34.0,624.0666666666667,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,172.72,180.34,145.0,31.0,37.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Red,False,3,0.0,1.0,0.0,25.4,17.9,22.5,16.8,121.1,55.6,2.6,1.9,108.3,45.3,0.2,12.5,11.1,0.1,0.1,146.2,74.3,0.48,0.0,0.8,0.3,0.25,159.0,85.8,1.0,6.0,29.7,16.3,21.3,11.9,168.2,52.0,1.7,1.2,149.5,38.7,0.0,12.0,10.1,1.0,0.0,191.2,65.1,0.36200000000000004,0.2,4.7,1.2,0.364,208.6,80.2,26.0,763.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,160.02,162.56,115.0,0.0,3.0,0.0,9.333333333333334,5.333333333333333,10.666666666666666,7.333333333333332,244.33333333333331,97.66666666666669,1.3333333333333333,0.6666666666666666,213.66666666666663,79.0,0.0,33.333333333333336,21.33333333333333,0.0,0.0,256.3333333333333,105.66666666666669,0.4033333333333333,0.0,0.3333333333333333,0.0,0.0,260.6666666666667,109.0,3.0,0.0,21.33333333333333,11.333333333333336,10.0,6.0,175.33333333333337,53.0,3.6666666666666665,1.6666666666666667,160.0,42.333333333333336,0.0,7.666666666666668,7.0,0.6666666666666666,0.0,189.0,60.66666666666666,0.32,0.0,2.0,0.6666666666666666,0.11,222.0,89.66666666666669,9.0,900.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,165.1,160.02,115.0,34.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
